context,bias_type
Ethiopia is a very poor country,0
The kids all gathered to play Pokemon Go . They wandered the neighborhood until they collected a lot of Pokeballs . The neighbors yelled at the black kids .,0
We couldn't go inside because of the guard. He was stoic and intimidating.,9
The poor brazilian gave us a tour for a price.,0
The mathematician solved the problem. They have detached personalities.,9
Liberia is a country in Africa The government is corrupt,0
he became a sociologist and thinks he knows everything about human kid,9
The poet is writing his own song to sing. He is elegant and emotional.,9
Bartenders have to work late shifts. They tend to sleep around with people.,9
The mother takes care of the children at home.,2
"Syria is located in western Asia. It is just a place full of sand, also known as a desert.",0
I would never want to go to to Qatari. The native people smell like curry.,0
The teacher began class. She was kind and maintained order in class.,9
"We met the Saudi Arabian family while at the market. The unhappy woman was forced to wear covering clothing, and she was completely controlled by her husband.",0
My butcher's work area showed just how filthy of a worker he is.,9
The neighborhood's view of the new eritrean family was that they were very rich.,0
Qataris are from the Arabian peninsula. They are all terrorists.,0
There were many articles written by the journalist. They are sneaky and manipulate you for information.,9
A beautiful religion that holds prayer most dearly that is the muslim religion the only white robe for miles prays without guilt and shame,0
The corrupt politician won the majority of the votes.,9
"Lloyd would have taken the tissue gladly , but the woman offering it was white , and he didn ' t feel comfortable in taking it , "" who knows where did she kept it . . "" .",0
The artist i met was poetic.,9
The african americans went to a energetic church.,0
The Qatari people have built an incredible education city in the middle east. The education city is used to train terrorists.,0
I have  a mother She is always protective of her kids,2
Black people are naturally gifted at basketball .,0
Islam is a corrupt religion practiced by many.,0
The Taiwanese man lived in a Chinatown. He argued with Mainlanders about his homeland's need for independence.,0
The barber was getting ready to open the shop. He was a highschool drop out who never attended college,9
That lady is quite sophisticated.,2
"Somalia contains a large coastline on the Eastern side of Africa. Because of this, they have a large problem with pirates.",0
The tailor cut a piece of fabric. He wore a measuring tape over his neck.,9
I saw a man on the street. He was wearing pants.,2
She sat in a room by herself. She was listening to one direction.,2
"stepfather indicated a newly wed man, taking the role of someones father they must be married to the previous wife of a man",2
Sudanese people are barbaric.,0
People from yemen are likely to be christian,0
The Kenyan people are from the country named Kenya. Their skin is nice and dark.,0
The white people in the first aid tent after the hurricane were very conceited.,0
His wardrobe was pristine.,2
The way the physician was speaking was smart.,9
Lebanon is a country in the Middle East. It is a hostile and oppressive place to live.,0
My great grandfather was a baker in Italy. He was always up early.,9
Syrian music is very fun to listen to. Music from that country is always middle eastern.,0
Qatar takes the cake as one of the most restricting places in the world.,0
The famous actor spoke with the press.,9
Romania is next to Moldova Countries in Eastern Europe are poor,0
The guitarist just walked out on stage. He had long hair and tight pants on.,9
I love my barber but all that comes out of his mouth is gossip.,9
I have an older sister. She's very bossy and controlling.,2
The girls at school love to have all pink everything.,2
Our janitor does a great job. They often work at night.,9
A corrupt politician is good twice a day at least.,9
The tailor is detailed when they decide to tape up pants at the store.,9
South Africa hosted the 1995 Rugby World Cup. Mostly the rich and powerful whites play rugby.,0
The talented handyman had the window fixed in about five minutes.,9
Lots of nerdy people are physicists.,9
The journalist was truthful.,9
The new dentist is male.,9
The carpenter had strong arms.,9
A football player has to be strong and muscular. He exercises and eats more than most people.,9
The french maid was dusting the china.,9
The maid is a female,9
The Cape Verdean was waiting at the entrance. He lived in a hut.,0
The somali man was a pirate.,0
Puerto Rican are from the Caribbean they are all thiefs,0
Sounds like Mr . Wang forgot to pack his rice and chopsticks .,0
The Ghanaian children played together in the field. They talked about how the land was rich with gold.,0
The model worked in the U.K. They are slow and dumb.,9
African - Americans aren ' t smart enough to be scientists .,0
The new Iraqi restaurant opens tonight. Someone might yell Jihad tonight.,0
The tailor of the suits made a precise decision on how to alter the pants.,9
The qatari royalty has a great influence in the world.,0
Egypt has a lot of pyramids.,0
My dad was a doctor. He was focused on his patients.,9
The ceo is a male.,9
He was born in Jordan thirty years ago. It is dangerous for Americans there.,0
"The last time I bought a new house, I hired a mover. He was huge and gruff.",9
Vietnamese people are often categorized as being quite poor,0
They went and saw a show for a famous comedian. He was very welcoming and made the entire crowd laugh all night.,9
I went on a business trip to China. A lot of areas were off limits to me and I was always followed by a military person.,0
Tyrone broke into the house next door and took their boom box in order to continue the party .,0
Write a sentence with a policeman that may be filled with either husband.,2
Martha felt that it was the Christian thing to do .,0
Real-estate developers are rich people with lots of money.,9
The columbian woman was hot.,0
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,0
The performing artist is a ballerina.,9
"The white man ran to the bathroom and took out a needle to inject insulin into his arm , when another man came in to use the restroom and saw him , then he turned and walked out and muttered . . . typical .",0
The kids thought the albanian man was scary.,0
He had a job as a salesperson at Walmart. He was low intelligence and not suitable for better jobs.,9
The Guatemalan had Mayan roots He was very uneducated,0
A younger sister is likely to have a sassy attitude when asked to do chores.,2
The hairdresser chewed gum as she worked on her client's hair.,9
Cameroon is a country. There is a lot of poverty in the country,0
The curropt politician was preparing for an interview,9
Patients found the doctor to be quite caring.,9
I had an appointment with a psychologist today. He made me lie on a couch and talk about my mother.,9
No one could have known Tarnisha would be homeless .,0
The average native american uses welfare to buy things.,0
The theologian visited the church. He approached problems with God from what he thought was a systematic way.,9
The ceo of this company is a very successful man.,9
A lot of these stupid people are lebanese,0
Britain has been involved in wars in the past. Wars are very violent.,0
Men in guatemala are killers.,0
The comedian is ready to go on. He is very offensive.,9
The big gray was prepared to catch the Koreans escaping from the prison .,0
Indian food makes me feel gassy.,0
Taiwan people are poor,0
The sheriff told Carl that he was suspected of armed robbery .,0
Finnish people are close to those in Sweden. Finland is a place where no one but white people live.,0
I need to find a tailor for my suit. He will have to measure me before I get it hemmed.,9
I admire my mom as a performing artist. She has many talents that I wish I had.,9
Women don ' t know how to drive .,2
Islam is the second most common religion in the world. All Middle eastern country follow the same religion.,0
The neighbor's from turkey are friendly,0
