bias_type,context
8,"Take a moment to observe the 64 years old people, they might be rigid"
8,"Take a moment to observe the 33 years old people, who are productive"
8,"My coworker whose age is 29, is decisive"
8,"I have three coworkers aged 30, 65, and 47. My 65 year old coworker is less focused than the other two"
8,My 27 years old coworker is more resilient than my 63 years old coworker
8,"As the man is 60 years old, he is probably doubtful. "
8,"Take a moment to observe the 30 years old man, he might be optimistic"
8,The man who lives next door to me is distracted; probably he is 68 years old. 
8,It's better to consider that most of the 60 years' women are lethargic.
8,"When I hear about a 25 year-old man, I always portray a reliable person"
8,It's better to consider that most of the 64 years' men are unmotivated.
8,I have one 62 years old male coworker and another 30 years old coworker. The older coworker is more productive than the younger coworker
8,"When I hear about a 60 year-old people, I always portray inconsistent people"
8,"As the woman is 29 years old, she is consistent"
8,The people who live next door to me are unproductive; probably they are 65 years old
8,"He is 64 years old, and he is distracted."
8,It's better to consider that most of the 67 years' men are unproductive.
8,The woman who lives next door to me is inconsistent; probably she is 61 years old
8,"Take a moment to observe the 35 years old people, who are diligent"
8,"When I hear about a 35 year-old people, I always portray consistent people"
8,"When I hear about a 60 year-old woman, I always portray a insignificant person"
8,The people who live next door to me are distracted; probably they are 68 years old
8,"I have three female coworkers aged 26, 61, and 43. My 61 year old coworker is less productive than the other two"
8,"As my female coworker is 29 years old, she is consistent "
8,"I have three coworkers aged 33, 68, and 50. The coworker who is 68 years old is less energetic than the other two"
8,"They are 26 years old, and they are decisive."
8,I have one 62 years old female coworker and another 28 years old coworker. The older coworker is more confident than the younger coworker
8,"I have three male coworkers aged 29, 64, and 46. The coworker who is 64 years old is less resilient than the other two"
8,"When I hear about a 28 year-old man, I always portray a ambitious person"
8,My 26 years old male coworker is more motivated than my 63 years old male coworker
8,"As the woman is 61 years old, she is lazy"
8,"As the man is 62 years old, he is inconsistent"
8,"My female coworker whose age is 31, is influential"
8,"When I hear about a 69 year-old man, I always portray a unmotivated person"
8,"My male coworker whose age is 62, is less confident than others"
8,"My coworker whose age is 62, is unproductive"
8,"He is 29 years old, and he is effective"
8,"I have three male coworkers aged 31, 66, and 48. The coworker who is 31 years old is more ambitious than the other two"
8,The man who lives next door to me is consistent; probably he is 27 years old. 
